Producer,48,29100
Producer,35,5900
Producer,13,3600
Consumer,15,3500
Consumer,12,11600
Consumer,49,6000
Producer,31,2900
Consumer,29,23300
Producer,48,5200
Consumer,29,2300
Producer,10,4500
Consumer,21,4700
Consumer,12,2500
Producer,7,3800
Producer,27,4600
Consumer,19,4700
Consumer,15,3900
Producer,30,3600
Consumer,13,5400
Producer,43,2332700
Producer,8,12800
Producer,352,4400
Producer,116,1100
Consumer,307,454700
Producer,216,7300
Producer,329,4700
Consumer,13,4400
Consumer,461,958800
Consumer,216,4500
Producer,341,7100
Producer,30,3700
Producer,20,5700
Producer,314,5000
Producer,122,5300
Consumer,32,5300
Consumer,403,2144900
Producer,244,4200
Consumer,486,4500
Producer,120,6900
Producer,226,3600
Producer,353,2600
Consumer,415,6987300
Producer,442,28900
Producer,72,5600
Consumer,265,4200
Producer,267,5500
Consumer,176,5700
Consumer,464,9372500
Producer,153,4000
Consumer,322,6667100
Consumer,136,6738600
Producer,347,15800
Consumer,25,6842700
Consumer,333,6700
Producer,325,4600
Consumer,164,6988100
Consumer,101,7066800
Producer,447,4600
Consumer,314,506900
Consumer,64,384300
Producer,408,5100
Consumer,457,636900
Producer,311,8500
Producer,160,5900
Consumer,490,8864000
Producer,198,5700
Producer,266,3100
Consumer,91,1455500
Consumer,4,523400
Consumer,354,238300
Producer,380,5600
Consumer,356,3300
Producer,311,5800
Producer,442,3700
Consumer,412,923600
Consumer,35,201300
Producer,327,2600
Consumer,467,3354300
Consumer,222,2800
Producer,432,4700
Consumer,241,739500
Consumer,16,578400
Producer,492,12700
Consumer,81,4100
Producer,61,8600
Consumer,225,13000
Producer,281,9300
Consumer,170,4100
Producer,301,122600
Consumer,325,5800
Producer,178,4700
Consumer,46,4400
Producer,239,3100
Consumer,221,4300
Consumer,281,4600
Producer,337,238400
Producer,125,4600
Consumer,212,11500
Producer,276,401900
Consumer,396,5200
Producer,12,4900
Consumer,221,14200
Producer,160,8800
Consumer,130,5200
Producer,364,6100
Consumer,309,4600
Producer,273,6000
Consumer,267,5800
Producer,87,26400
Producer,91,12200
Consumer,274,3800
Producer,472,7800
Consumer,374,306000
Consumer,273,13900
Producer,191,3700
Producer,56,13500
Consumer,409,136700
Producer,490,6300
Consumer,237,167000
Consumer,117,4400
Producer,374,6000
Consumer,228,6800
Producer,248,6900
Consumer,124,4800
Producer,182,4500
Consumer,340,6000
Producer,115,4600
Consumer,23,15900
Producer,114,4900
Consumer,362,4400
Producer,53,11500
Consumer,31,4600
Producer,144,4500
Consumer,176,4400
Producer,295,5300
Consumer,233,4600
Producer,218,4000
Producer,396,4500
Consumer,192,4300
Consumer,450,425200
Producer,166,5600
Consumer,97,5500
Producer,254,6600
Consumer,383,221000
Producer,83,14200
Producer,345,9800
Producer,432,5500
Consumer,175,3000
Consumer,280,588700
Consumer,285,610400
Producer,476,5700
Consumer,288,7600
Consumer,349,4200
Producer,274,2200
Producer,19,2700
Consumer,70,3800
Producer,221,6800
Consumer,176,6300
Producer,349,7500
Consumer,132,3700
Producer,339,5600
Consumer,469,4600
Producer,436,12400
Consumer,427,307800
Consumer,108,5000
Producer,330,245000
Producer,28,14700
Consumer,271,8300
Producer,52,6100
Consumer,373,3300
Producer,490,10900
Consumer,327,10600
Producer,144,17000
Consumer,115,3600
Producer,75,2900
Producer,93,9700
Consumer,205,6700
Producer,289,10200
Consumer,378,829100
Consumer,48,3800
Producer,246,12300
Producer,99,3400
Producer,147,5700
Consumer,443,387700
Producer,306,8300
Consumer,322,1333100
Producer,134,5400
Consumer,192,4200
Consumer,32,531500
Producer,175,4100
Producer,232,4600
Consumer,217,258300
Producer,17,3200
Consumer,104,164100
Consumer,23,6100
Producer,256,14700
Producer,24,7500
Producer,147,4700
Consumer,421,302000
Producer,485,13300
Consumer,424,4077200
Producer,172,3500
Consumer,111,1721400
Producer,417,20800
Consumer,428,1206100
Producer,213,3300
Consumer,246,950500
Consumer,70,251900
Producer,497,6500
Consumer,421,345400
Consumer,5,219800
Consumer,135,150900
Consumer,43,104000
Producer,475,5200
Consumer,477,1602300
Producer,78,3000
Producer,159,9900
Producer,15,6000
Consumer,205,100854400
Producer,3175,10100
Consumer,2912,7500
Producer,3538,6200
Producer,4320,5100
Consumer,555,3700
Consumer,4536,477700
Producer,1996,5900
Producer,3120,220500
Consumer,4651,545400
Consumer,2078,3500
Producer,1107,3000
Producer,3357,5600
Consumer,3337,130800
Producer,3167,4800
Consumer,3692,130000
Producer,1799,7600
Producer,2876,4900
Consumer,3376,4800
Producer,4747,4000
Consumer,3054,2900
Consumer,3166,425500
Producer,4672,313100
Consumer,2112,6200
Consumer,62,4400
Producer,4053,263100
Consumer,4885,2113400
Producer,2914,143500
Consumer,1471,315700
Producer,3860,4100
Consumer,294,5300
Consumer,3385,3200
Producer,4837,189800
Consumer,1901,6400
Producer,1126,123600
Consumer,985,14900
Consumer,233,4100
Producer,1950,540300
